"CODGEO";"LIBGEO";"P15_POPH";"P15_POPF";"DEP";"SUPERFICIE";"POPTOTALE"
"35001";"Acigne";3224,56795495551;3296,43204504449;"35";30,08;6521
"35002";"Amanlis";873,949970913321;814,050029086678;"35";25,91;1688
"35003";"Andouille-Neuville";456;404;"35";13,00001;860
"35004";"Antrain";611;708;"35";9,69;1319
"35005";"Arbrissel";154,927392739274;144,072607260726;"35";4,19;299
"35006";"Argentre-du-Plessis";2137,5609849998;2156,43901500021;"35";41,04;4294,00000000001
"35007";"Aubigne";241,999999999999;241,999999999999;"35";2,14;483,999999999998
"35008";"Availles-sur-Seiche";339,730000972226;346,269999027775;"35";11,15;686,000000000001
"35009";"Baguer-Morvan";795;878;"35";23,65;1673
"35010";"Baguer-Pican";805,368828078524;835,631171921475;"35";16,11;1641
"35011";"Baille";145,965870307168;151,034129692833;"35";5,48;297,000000000001
"35012";"Bain-de-Bretagne";3528,25567446433;3806,74432553568;"35";65,85;7335,00000000001
"35013";"Bains-sur-Oust";1702,02407954366;1711,97592045633;"35";45,69;3413,99999999999
"35014";"Bais";1184,88065060159;1169,11934939841;"35";35,24;2354
"35015";"Balaze";1150,30304024342;1119,69695975659;"35";36,74;2270,00000000001
"35016";"Baulon";1089,39424580334;1067,60575419666;"35";25,46;2157
"35017";"La Baussaine";336,314842578711;317,685157421289;"35";9,87;654
"35018";"La Bazouge-du-Desert";573,598823418225;539,401176581777;"35";25,05;1113
"35019";"Bazouges-la-Perouse";875,354825301241;918,645174698756;"35";57,63;1794
"35021";"Beauce";690,461538461538;629,538461538462;"35";8,57;1320
"35022";"Becherel";319;359;"35";0,44;678
"35023";"Bedee";2080,9797050892;2119,02029491079;"35";39,73;4199,99999999999
"35024";"Betton";5250,90316139792;5628,09683860209;"35";26,69;10879
"35025";"Bille";512,282964824275;534,717035175723;"35";17,06;1047
"35026";"Bleruais";63,5727272727273;47,4272727272728;"35";3,21;111
"35027";"Boisgervilly";794,817557747369;830,182442252629;"35";20,03;1625
"35028";"Boistrudan";357,046478873239;329,953521126761;"35";13,5;687
"35029";"Bonnemain";759;750;"35";24,92;1509
"35030";"La Bosse-de-Bretagne";330;317;"35";10,64;647
"35031";"La Bouexiare";2166,17239201171;2129,8276079883;"35";49,16;4296,00000000001
"35032";"Bourgbarre";1886,98388641248;1954,01611358751;"35";14,98;3840,99999999999
"35033";"Bourg-des-Comptes";1582,62954844961;1658,37045155039;"35";23,75;3241
"35034";"La Boussac";567,174201797317;576,825798202682;"35";21,8;1144
"35035";"Bovel";306,530779901705;293,469220098295;"35";14,52;600
"35037";"Breal-sous-Montfort";2896,59272549339;2918,4072745066;"35";33,64;5814,99999999999
"35038";"Breal-sous-Vitre";338;317;"35";5,91;655
"35039";"Brece";1065,1324822678;1033,8675177322;"35";6,96;2099
"35040";"Breteil";1749,49896226878;1732,50103773123;"35";14,5;3482,00000000001
"35041";"Brie";472,823498568337;441,176501431664;"35";13,39;914,000000000001
"35042";"Brielles";379,288654334234;337,711345665767;"35";11,37;717,000000000001
"35044";"Broualan";202,603723404256;176,396276595745;"35";12,84;379,000000000001
"35045";"Bruc-sur-Aff";425,513921113689;433,486078886311;"35";20,83;859
"35046";"Les Brulais";274;261;"35";11,96;535
"35047";"Bruz";8933,13282974545;9044,86717025455;"35";29,96;17978
"35049";"Cancale";2417,20726282981;2748,7927371702;"35";12,94;5166,00000000001
"35050";"Cardroc";269,426541579315;280,573458420687;"35";7,19;550,000000000002
"35051";"Cesson-Sevigne";8814,37847745822;8599,62152254178;"35";31,82;17414
"35052";"Champeaux";257,799599198397;233,200400801603;"35";10,5;491
"35053";"Chance";153,427652733119;148,572347266881;"35";5,21;302
"35054";"Chanteloup";963,777763807179;881,222236192817;"35";17,69;1845
"35055";"Chantepie";5033,86994324595;5411,13005675405;"35";12,25;10445
"35056";"La Chapelle-aux-Filtzmeens";401,4598540146;423,540145985403;"35";6,64;825,000000000003
"35057";"La Chapelle-Bouexic";711,125596137473;694,874403862527;"35";20,73;1406
"35058";"La Chapelle-Chaussee";643,279307631786;610,720692368214;"35";15,29;1254
"35059";"La Chapelle-des-Fougeretz";2358;2448;"35";8,95;4806
"35060";"La Chapelle du Lou du Lac";519,547205359011;478,452794640987;"35";10,51;997,999999999998
"35061";"La Chapelle-Erbree";353,43130826727;339,568691732729;"35";11,14;692,999999999999
"35062";"La Chapelle-Janson";710,07724137931;723,92275862069;"35";26,8;1434
"35063";"La Chapelle-Saint-Aubert";211,553872954319;213,446127045682;"35";10,07;425,000000000001
"35064";"La Chapelle-de-Brain";476,639886203468;485,360113796535;"35";18,18;962,000000000003
"35065";"La Chapelle-Thouarault";1046;1024;"35";7,54;2070
"35066";"Chartres-de-Bretagne";3579,41889079474;3775,58110920525;"35";9,59;7354,99999999999
"35067";"Chasne-sur-Illet";744;771;"35";9,75;1515
"35068";"Chateaubourg";3401,43206797576;3515,56793202424;"35";28,58;6917
"35069";"Chateaugiron";4714,86016947535;4846,13983052464;"35";23,18;9560,99999999999
"35070";"'Chateauneuf-d''Ille-et-Vilaine'";825;837;"35";1,35;1662
"35071";"Le Chatellier";215,239336492891;195,760663507109;"35";13,43;411
"35072";"Chatillon-en-Vendelais";860,46943538163;839,530564618375;"35";32,34;1700,00000000001
"35075";"Chauvigne";425,483329874806;428,516670125195;"35";17,8;854,000000000001
"35076";"Chavagne";1880,65032301345;1921,34967698655;"35";12,28;3802
"35077";"Chelun";191,106054376397;156,893945623603;"35";11,49;348
"35078";"Cherrueix";521,364167279529;610,635832720473;"35";13,00001;1132
"35079";"Chevaigne";1040;1086;"35";10,4;2126
"35080";"Cintre";1133;1103;"35";8,44;2236
"35081";"Clayes";424;394;"35";4,25;818
"35082";"Coesmes";760,217102067174;730,78289793283;"35";23,86;1491
"35084";"Comblessac";373,278260869565;324,721739130435;"35";17,04;698
"35085";"Combourg";2811,92464603426;3050,07535396574;"35";63,67;5862
"35086";"Combourtille";299,633713597056;306,366286402943;"35";9,09;605,999999999999
"35087";"Cornille";497,10423969693;471,895760303067;"35";12,31;968,999999999997
"35088";"Corps-Nuds";1571,94624794851;1644,05375205149;"35";23,22;3216
"35089";"La Couyare";262,123097850543;249,876902149458;"35";11,92;512,000000000001
"35090";"Crevin";1360,83736899169;1346,16263100831;"35";8,59;2707
"35091";"Le Crouais";272,048300536673;280,951699463327;"35";6,72;553
"35092";"Cuguen";427;407;"35";24,07;834
"35093";"Dinard";4442,10786150952;5493,89213849049;"35";7,63;9936,00000000001
"35094";"Dinge";844,201711491444;821,798288508559;"35";54,21;1666
"35095";"Dol-de-Bretagne";2637;3009;"35";15,75;5646
"35096";"Domagne";1146;1144;"35";29,14;2290
"35097";"Domalain";1008;977;"35";34,05;1985
"35098";"La Dominelais";694,100861240131;655,899138759863;"35";32,15;1349,99999999999
"35099";"Domloup";1616,14422065828;1568,85577934172;"35";18,61;3185
"35100";"Dompierre-du-Chemin";291,056466301204;289,943533698797;"35";9,69;581,000000000001
"35101";"Dourdain";581;567;"35";13,7;1148
"35102";"Drouges";284;244;"35";11,5;528
"35103";"Eance";201;204;"35";17,03;405
"35104";"Epiniac";708,933404463517;693,066595536481;"35";24,13;1402
"35105";"Erbree";846,382491186839;830,617508813161;"35";36,16;1677
"35106";"Erce-en-Lamee";766,565454534819;737,434545465185;"35";39,64;1504
"35107";"Erce-pras-Liffre";895,147799537834;865,852200462165;"35";16,00001;1761
"35108";"Esse";575,579143868451;535,42085613155;"35";22,82;1111
"35109";"Etrelles";1234,07155684728;1310,92844315273;"35";28,15;2545,00000000001
"35110";"Feins";498,128881022928;442,871118977076;"35";19,96;941,000000000004
"35111";"Le Ferre";347;342;"35";17,46;689
"35112";"Fleurigne";498,995185769281;518,004814230719;"35";18,65;1017
"35113";"La Fontenelle";276;263;"35";12,11;539
"35114";"Forges-la-Foret";139,068020852566;131,931979147433;"35";6,37;270,999999999999
"35115";"Fougares";9451,54413876379;10783,4558612362;"35";10,29;20235
"35116";"La Fresnais";1216,43929049517;1243,56070950483;"35";14,51;2460
"35117";"Gael";875,076820961996;791,923179038011;"35";53,51;1667,00000000001
"35118";"Gahard";707,583735354928;716,416264645072;"35";25,15;1424
"35119";"Gennes-sur-Seiche";475,600501417776;454,399498582227;"35";18,63;930,000000000003
"35120";"Geveze";2540,63756076255;2620,36243923745;"35";27,95;5161
"35121";"Gosne";1020,03658024819;977,963419751807;"35";18,01;1998
"35122";"La Gouesniare";881;918;"35";9,12;1799
"35123";"Goven";2240,83250913941;2181,1674908606;"35";39,88;4422,00000000001
"35124";"Grand-Fougeray";1261,39212227468;1200,60787772532;"35";55,7;2462
"35125";"La Guerche-de-Bretagne";2050,74103834494;2230,25896165507;"35";11,55;4281,00000000001
"35126";"Guichen";4033,94773574332;4197,05226425668;"35";42,82;8231
"35127";"Guignen";1914;1907;"35";52,92;3821
"35128";"Guipel";865,536123179415;845,46387682059;"35";25,35;1711,00000000001
"35130";"Hede-Bazouges";1083,94260798503;1080,05739201497;"35";14,4;2164
"35131";"'L''Hermitage'";2066,4122545352;2160,58774546481;"35";6,85;4227,00000000001
"35132";"Hirel";671,234151703324;696,765848296676;"35";10,01;1368
"35133";"Iffendic";2225,53821256264;2230,46178743737;"35";76,02;4456,00000000001
"35134";"Les Iffs";135,5;135,5;"35";4,25;271
"35135";"Irodouer";1129;1102;"35";23,45;2231
"35136";"Janze";3971,02741460663;4296,97258539337;"35";42,00001;8268
"35137";"Javene";1007,56500872406;1047,43499127594;"35";18,59;2055
"35138";"Laignelet";559,255236375044;598,744763624955;"35";15,04;1158
"35139";"Laille";2529;2588;"35";31,87;5117
"35140";"Lalleu";307,37686355358;279,623136446422;"35";15,59;587,000000000002
"35141";"Landavran";354,037883423198;333,962116576802;"35";5,33;688
"35142";"Landean";638,50539419087;608,494605809127;"35";28,77;1247
"35143";"Landujan";493,356065252128;487,643934747871;"35";14,56;980,999999999999
"35144";"Langan";468,109612021179;448,89038797882;"35";7,75;916,999999999999
"35145";"Langon";729,148268742128;733,851731257869;"35";35,85;1463
"35146";"Langouet";303,897100413928;296,102899586071;"35";7,21;599,999999999999
"35147";"Lanhelin";498,529604536216;515,470395463784;"35";6,48;1014
"35148";"Lanrigan";75,5;75,5;"35";3,68;151
"35149";"Lassy";799,905513890923;813,094486109076;"35";9,46;1613
"35150";"Lecousse";1521;1657;"35";10,75;3178
"35151";"Lieuron";407,450757575758;381,549242424242;"35";16,7;789
"35152";"Liffre";3610;3760;"35";67,66;7370
"35153";"Lillemer";178,106194690266;168,893805309735;"35";3,71;347,000000000001
"35154";"Livre-sur-Changeon";849,692028522089;832,307971477917;"35";26,88;1682,00000000001
"35155";"Loheac";319,485628282062;337,514371717936;"35";5,37;656,999999999998
"35156";"Longaulnay";311,261363636364;325,738636363637;"35";7,79;637,000000000001
"35157";"Le Loroux";323,908396946566;339,091603053437;"35";10,59;663,000000000003
"35159";"Lourmais";166,969325153375;169,030674846626;"35";6,92;336,000000000001
"35160";"Loutehel";135,070998571691;127,92900142831;"35";7,46;263,000000000001
"35161";"Louvigne-de-Bais";947,694327731093;897,305672268908;"35";15,64;1845
"35162";"Louvigne-du-Desert";1596,95260335334;1820,04739664666;"35";43,12;3417
"35163";"Luitre";656,443303237932;642,556696762067;"35";30,16;1299
"35164";"Marcille-Raoul";401,344326733525;394,655673266476;"35";22,45;796,000000000001
"35165";"Marcille-Robert";495,651161651749;481,348838348248;"35";20,2;976,999999999997
"35166";"Marpire";554,154929577464;520,845070422534;"35";11,12;1075
"35167";"Martigne-Ferchaud";1293,56744316155;1311,43255683845;"35";75,4;2605
"35168";"'Val d''Anast'";1948,17066948546;1959,82933051454;"35";77,45;3908
"35169";"Maxent";749,910938999375;721,089061000626;"35";40,02;1471
"35170";"Mece";313;288;"35";15,91;601
"35171";"Medreac";905,461474867398;904,538525132601;"35";35,73;1810
"35172";"Meillac";901,024735367848;904,975264632152;"35";32,9;1806
"35173";"Melesse";3011,08030053145;3104,91969946855;"35";32,93;6116
"35174";"Melle";324,483327548178;331,516672451823;"35";14,98;656,000000000001
"35175";"Mernel";531,006177197043;515,993822802957;"35";16,6;1047
"35176";"Guipry-Messac";3442,51779310083;3445,48220689914;"35";93,35;6887,99999999997
"35177";"La Meziare";2329,02876897978;2314,97123102024;"35";16,47;4644,00000000002
"35178";"Meziares-sur-Couesnon";828,744023323615;855,255976676385;"35";25,48;1684
"35179";"Miniac-Morvan";1908;1973;"35";31,89;3881
"35180";"Miniac-sous-Becherel";387,660443592202;367,339556407801;"35";13,49;755,000000000003
"35181";"Le Minihic-sur-Rance";682,14409177267;737,855908227325;"35";4,05;1419,99999999999
"35183";"Mondevert";427,925117962998;383,074882037002;"35";5,12;811
